C�digo Barra,C�digo Reduzido,Descri��o,Unidade Medida,Categoria,Setor,Pre�o de Venda Unit�rio R$,Classificacao Fiscal / NCM,CST ICMS Sa�da,CEST,CFOP Estadual,Al�quota ICMS,Al�quota de PIS,CST PIS Sa�da,Al�quota de COFINS,CST COFINS Sa�da,Enviar para Balan�a,,,,,,,,,,
|7613033026720|,-,CAPSULA BARISTA DOLCE GUSTO 120G,UN,MERCEARIA SECA,02 REVENDA,29,5000,2202.99.00 - OUTROS SUCOS,60,17.115.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,6,7,600,6,-,,,,,
|7898681350018|,-,AIAAI GOMA DE MASCAR 18UN,UN,BOMBONIERE,02 REVENDA,21,8000,1704.90.20 - BALAS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7896058595512|,-,PIRULITO YOGURTE 11,2G,UN,BOMBONIERE,02 REVENDA,0,5200,1704.90.20 - BALAS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7891150074521|,-,POTE KIBON 1,3L BROWNIE COM CASTANHA,UN,SORVETES,02 REVENDA,42,8000,2105.00.10 - SORVETES,60,23.001.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7891150074507|,-,POTE KIBON 1,3L MERENGUE DE MORANGO,UN,SORVETES,02 REVENDA,43,9000,2105.00.10 - SORVETES,60,23.001.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7891150074026|,-,POTE KIBON 1,4L LEITINHO TRUFADO SUNDAE,UN,SORVETES,02 REVENDA,41,8000,2105.00.10 - SORVETES,60,23.001.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7891150068315|,-,POTE KIBON 1,4L SUNDAE CHOCOLATE,UN,SORVETES,02 REVENDA,41,8000,2105.00.10 - SORVETES,60,23.001.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
-,695,LANCHE MISTO QUENTE P PERU,UN,CHAPA, ,21,8000,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
|78938953|,-,CIG CAMEL DOUBLE MINT E PURPLE,UN,CIGARROS,02 REVENDA,14,2500,2402.20.00 - CIGARROS E TABACOS,60,04.001.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,8,7,600,8,-,,,,,
|7891150077263|,-,POTE KIBON CHOCOLATE 1,5L,UN,SORVETES,02 REVENDA,32,9000,2105.00.10 - SORVETES,60,23.001.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7891515546847|,-,BACON FATIADO PERDIGAO 250G,UN,FRIOS,02 REVENDA,18,9000,0210.12.00 - BARRIGAS E PEITOS,ENTREMEADOS,DE SUINO,SALGADOS,ETC.,60,17.087.01,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,Sim,
|7896623100608|,-,SUCO DE MACA INT. XANDO 900ML,UN,BEBIDAS,02 REVENDA,16,9000,2009.71.00 - SUCOS DE MACAS,COM VALOR BRIX =<20,60,17.010.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7713042116945|,-,GENGIBRE CRISTALIZADO 40G,UN,BOMBONIERE,02 REVENDA,12,0,0910.12.00 - GENGIBRE, TRITURADAS OU EM PO,0,28.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,
|7713042147574|,-,GENGIBRE CRISTALIZADO 40G,UN,BOMBONIERE,02 REVENDA,12,0,0910.12.00 - GENGIBRE, TRITURADAS OU EM PO,0,28.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,
|7896292340503|,-,MILHO PREDILECTA 170G,UN,MERCEARIA SECA,02 REVENDA,5,6000,2005.80.00 - MILHO DOCE,PREPARADO OU CONSERVADO,NAO CONGELADO,60,17.035.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
-,703,AMSTERDA ESPECIAL,KG,CONFEITARIA, ,81,800,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
-,704,CHOCOTONE MOUSSES FRUTA,KG,CONFEITARIA, ,89,5700,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,-,,,,,
-,705,CHOCOTONE RECHEIOS CHOCOLATE,KG,CONFEITARIA, ,116,6400,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,-,,,,,
|9002490241179|,-,RED BULL COCO 250ML,UN,BEBIDAS,02 REVENDA,12,2000,2202.10.00 - SUCOS / CHAS / ENERG,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|9002490240875|,-,RED BULL COCO 250ML,UN,BEBIDAS,02 REVENDA,12,2000,2202.10.00 - SUCOS / CHAS / ENERG,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|783094031517|,-,BATERIA CR2032 RAYOVAC UNIDADE,UN,TABACARIA,02 REVENDA,10,9000,8506.10.31 - ALCALINAS, DE TENSAO IGUAL A 9 V,60,28.063.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|783094031456|,-,BATERIA CR2032 RAYOVAC UNIDADE,UN,TABACARIA,02 REVENDA,10,9000,8506.10.31 - ALCALINAS, DE TENSAO IGUAL A 9 V,60,28.063.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7896077600747|,1087,QUEIJO AZUL CRIOULO,KG,LATICINIOS,02 REVENDA,104,6000,0406.20.00 - QUEIJO,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,Sim,,,,,
-,709,PASTEL DE BELEM SABORES,UN,CONFEITARIA, ,15,3700,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
|7892141955751|,-,ALCOOL TOP 46 1L,UN,MERCEARIA ESPECIAL,02 REVENDA,13,6000,2207.10.90 - OUTROS ALCOOL ETILICO N/DESNATURADO,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7892141955737|,-,ALCOOL TOP 46 1L,UN,MERCEARIA ESPECIAL,02 REVENDA,13,6000,2207.10.90 - OUTROS ALCOOL ETILICO N/DESNATURADO,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7896306625039|,-,TRENTO MASSIMO COOKIES 30G,UN,BOMBONIERE,02 REVENDA,3,9000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7896306619465|,-,TRENTO MASSIMO COOKIES 30G,UN,BOMBONIERE,02 REVENDA,3,9000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7896306619458|,-,TRENTO MASSIMO COOKIES 30G,UN,BOMBONIERE,02 REVENDA,3,9000,1806.31.10 - CHOCOLATE RECHEADO,EM TABLETES,BARRAS E PAUS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7898003281167|,-,DOCE DE LEITE AMOR DE MINAS 50G,UN,MERCEARIA ESPECIAL,02 REVENDA,4,2000,2106.90.90 - OUTROS PREPARACOES ALIMENTICIAS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7898367980041|,-,CERV WEIZENBIER EISENBAHN LN,UN,BEBIDAS,02 REVENDA,7,6000,2203.00.00 - CERVEJAS,60,03.021.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,0,0,4,0,0,4,-,,,,,
|9786555110722|,-,LIVRO O MAIOR SEGREDO,UN,MERCEARIA ESPECIAL,02 REVENDA,62,9000,4901.99.00 - OUTROS LIVROS,BROCHURAS E IMPRESSOS SEMELHANTES,60,28.064.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
-,712,TORTA BANOFFEE,KG,CONFEITARIA, ,73,7000,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
|78941229|,-,CIG L.A MENTHOL,UN,CIGARROS,02 REVENDA,16,5000,2402.20.00 - CIGARROS E TABACOS,60,04.001.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,8,7,600,8,-,,,,,
|7896080900599|,-,ESPETO PARA CHURRASCO 50UN,UN,CONVENIENCIA,02 REVENDA,6,5100,4421.91.00 - DE BAMBU,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7896051030423|,-,ESPETO PARA CHURRASCO 50UN,UN,CONVENIENCIA,02 REVENDA,6,5100,4421.91.00 - DE BAMBU,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7896080900643|,-,ESPETO PARA CHURRASCO 50UN,UN,CONVENIENCIA,02 REVENDA,6,5100,4421.91.00 - DE BAMBU,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7898955705780|,-,JUNGLE MORANGO E LIMAO 500ML,UN,BEBIDAS,02 REVENDA,9,7000,2202.99.00 - OUTROS SUCOS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7898692300873|,-,JUNGLE MORANGO E LIMAO 500ML,UN,BEBIDAS,02 REVENDA,9,7000,2202.99.00 - OUTROS SUCOS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7898955705773|,-,JUNGLE LARANJA 500ML,UN,BEBIDAS,02 REVENDA,9,3000,2202.99.00 - OUTROS SUCOS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7898618520767|,-,SALAME HAMBURGUES CERATTI FAT 100G,UN,FRIOS,02 REVENDA,17,7000,1601.00.00 - DERIV DE CARNES E AQUAT,60,17.076.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,Sim,,,,,
|78943087|,-,CIG ROTHMANS INTERNACIONAL DOUBLE CLICK,UN,CIGARROS,02 REVENDA,9,2500,2402.20.00 - CIGARROS E TABACOS,60,04.001.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,8,7,600,8,-,,,,,
|78941090|,-,CIG ROTHMANS INTERNACIONAL DOUBLE CLICK,UN,CIGARROS,02 REVENDA,9,2500,2402.20.00 - CIGARROS E TABACOS,60,04.001.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,8,7,600,8,-,,,,,
-,713,NHOQUE RECHEADO C QUEIJO,KG,ROTISSERIA, ,58,8100,1902.20.00 - MASSAS/LANCHES CONG PRONTOS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,6,7,600,6,Sim,,,,,,,
|7897195981374|,-,SUCO LIFE LARANJA 900ML,UN,BEBIDAS,02 REVENDA,15,8000,2009.12.00 - SUCOS DE LARANJAS,N?O CONGELADOS,COM VALOR BRIX =<20,60,17.112.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7897195981299|,-,SUCO LIFE LARANJA 2L,UN,BEBIDAS,02 REVENDA,29,6000,2009.12.00 - SUCOS DE LARANJAS,N?O CONGELADOS,COM VALOR BRIX =<20,60,17.112.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7897195981305|,45498,SUCO LIFE CAJU 900ML,UN,BEBIDAS,02 REVENDA,15,8000,2202.99.00 - OUTROS SUCOS,60,17.112.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
-,714,BOLO FORMIGUEIRO CASEIRO,KG,CONFEITARIA, ,55,1100,1905.90.90 - PAES, BOLOS, BOLACHAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,
|7896175326143|,-,GENGIBRE CRISTALIZADO ECOAS 50G,UN,BOMBONIERE,02 REVENDA,15,6000,0910.12.00 - GENGIBRE, TRITURADAS OU EM PO,0,28.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,
|7897646303465|,-,SPRAY DE MEL ECOAS SABORES 30ML,UN,MERCEARIA SECA,02 REVENDA,12,8000,0410.90.00 - OUTROS,60,17.035.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7897646303458|,-,SPRAY DE MEL ECOAS SABORES 30ML,UN,MERCEARIA SECA,02 REVENDA,12,8000,0410.90.00 - OUTROS,60,17.035.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7898673150657|,-,SPRAY DE MEL ECOAS SABORES 30ML,UN,MERCEARIA SECA,02 REVENDA,12,8000,0410.90.00 - OUTROS,60,17.035.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7897646303489|,-,SPRAY DE MEL ECOAS SABORES 30ML,UN,MERCEARIA SECA,02 REVENDA,12,8000,0410.90.00 - OUTROS,60,17.035.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7897646303472|,-,SPRAY DE MEL ECOAS SABORES 30ML,UN,MERCEARIA SECA,02 REVENDA,12,8000,0410.90.00 - OUTROS,60,17.035.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7891008116823|,-,PASTILHAS EXTRA FORTE GAROTO 17G,UN,BOMBONIERE,02 REVENDA,1,8000,1704.90.20 - BALAS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7891008116779|,-,PASTILHAS MENTA GAROTO 17G,UN,BOMBONIERE,02 REVENDA,1,8000,1704.90.20 - BALAS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|9786555351958|,-,LIVRO AS AVENTURAS DE MIKE O BEBE CHEGOU,UN,MERCEARIA ESPECIAL,02 REVENDA,58,9000,4901.99.00 - OUTROS LIVROS,BROCHURAS E IMPRESSOS SEMELHANTES,60,28.064.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|9786555351286|,-,LIVRO ASTROFISICA PARA APRESSADOS,UN,MERCEARIA ESPECIAL,02 REVENDA,46,9000,4901.99.00 - OUTROS LIVROS,BROCHURAS E IMPRESSOS SEMELHANTES,60,28.064.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|9788595032804|,-,LIVRO FADA,UN,MERCEARIA ESPECIAL,02 REVENDA,62,9000,4901.99.00 - OUTROS LIVROS,BROCHURAS E IMPRESSOS SEMELHANTES,60,28.064.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|9788595034228|,-,LIVRO FACA SUA PROPRIA FAZENDA,UN,MERCEARIA ESPECIAL,02 REVENDA,72,9000,4901.99.00 - OUTROS LIVROS,BROCHURAS E IMPRESSOS SEMELHANTES,60,28.064.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|9788595034303|,-,LIVRO DINOSSAURO COLORIR E DIVERTIDO,UN,MERCEARIA ESPECIAL,02 REVENDA,34,9000,4901.99.00 - OUTROS LIVROS,BROCHURAS E IMPRESSOS SEMELHANTES,60,28.064.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7896100901506|,-,VELA PARANA N4 C8UN,UN,CONVENIENCIA,02 REVENDA,7,2000,3406.00.00 - PROD CONVENIENCIA,60,28.056.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7896080901091|,-,VELA PARANA N4 C8UN,UN,CONVENIENCIA,02 REVENDA,7,2000,3406.00.00 - PROD CONVENIENCIA,60,28.056.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
-,45541,AD LEITE ZERO LACTOSE,UN,COPA, ,0,0,0401.20.10 - LEITE UHT,1% MATERIA GORDA 6%,NAO CONCENTRADO,N ADOC.,0,17.016.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,-,,,,
|7897195931799|,-,SUCO LIFE LARANJA 300ML,UN,BEBIDAS,02 REVENDA,7,8000,2009.12.00 - SUCOS DE LARANJAS,N?O CONGELADOS,COM VALOR BRIX =<20,60,17.112.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,
|7896423401066|,-,M E M CRISPY 35G,UN,BOMBONIERE,02 REVENDA,6,8000,1806.90.00 - PRODUTOS DO CACAU,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7896423401103|,-,M E M CRISPY 35G,UN,BOMBONIERE,02 REVENDA,6,8000,1806.90.00 - PRODUTOS DO CACAU,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7897195931768|,-,SUCO LIFE GOIABA 300ML,UN,BEBIDAS,02 REVENDA,7,8000,2202.99.00 - OUTROS SUCOS,60,17.112.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|78941618|,-,CIG MARLBORO GOLD SELECT BOX,UN,CIGARROS,02 REVENDA,10,0,2402.20.00 - CIGARROS E TABACOS,60,04.001.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,8,7,600,8,-,,,,,
-,715,CHOCOLATE EXCELSIOR VIAGEM 210ML,UN,COPA, ,13,5000,2106.90.90 - OUTROS PREPARACOES ALIMENTICIAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,,,
-,716,CHOCOLATE EXCELSIOR VIAGEM 300ML,UN,COPA, ,18,9000,2106.90.90 - OUTROS PREPARACOES ALIMENTICIAS,0,-,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,3.2,1,650,1,7,600,1,Sim,,,,,,,
|7891024033715|,-,CREME DENTAL COLGATE 50G,UN,MERCEARIA ESPECIAL,02 REVENDA,5,7700,3306.10.00 - DENTIFRICIOS,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7897195931775|,2088,SUCO LIFE UVA 300ML,UN,BEBIDAS,02 REVENDA,7,8000,2202.99.00 - OUTROS SUCOS,60,17.112.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7897195981343|,45556,SUCO LIFE UVA 900ML,UN,BEBIDAS,02 REVENDA,15,8000,2202.99.00 - OUTROS SUCOS,60,17.112.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7896623100868|,-,SUCO DE LARANJA COM ABACAXI XANDO 900ML,UN,BEBIDAS,02 REVENDA,17,6000,2009.90.00 - SUCOS DE FRUTAS,60,17.010.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7896623100615|,-,SUCO DE LARANJA COM ABACAXI XANDO 900ML,UN,BEBIDAS,02 REVENDA,17,6000,2009.90.00 - SUCOS DE FRUTAS,60,17.010.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7891150078710|,-,PIC MINIONS KIDS KIBON,UN,SORVETES,02 REVENDA,7,2000,2105.00.10 - SORVETES,60,23.001.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,8,7,600,8,-,,,,,
|7896104998724|,-,PAPEL TOALHA MILI 2 ROLOS,UN,MERCEARIA SECA,02 REVENDA,7,8700,4818.90.90 - OUTS.ARTIGOS DE PAPEL,P/USO SANITARIO/DOMESTICO/ HOSPIT.,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,
|7898618520750|,-,SALAME ITALIANO CERATTI FAT 100G,UN,FRIOS,02 REVENDA,17,7000,1601.00.00 - DERIV DE CARNES E AQUAT,60,17.076.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,Sim,,,,,
|7908091400736|,-,VINHO CHARDONNAY ANCAR 750ML,UN,BEBIDAS,02 REVENDA,52,8000,2206.00.90 - VINHOS E ESPUMANTES,60,-,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7891203069788|,-,PANCO PAO CASTANHAS BRASILEIRAS 380G,UN,MERCEARIA SECA,02 REVENDA,14,2000,1905.90.10 - PAO DE FORMA,60,17.060.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7891203067906|,-,PANCO PAO CASTANHAS BRASILEIRAS 380G,UN,MERCEARIA SECA,02 REVENDA,14,2000,1905.90.10 - PAO DE FORMA,60,17.060.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7798040469057|,-,OVO COM PASTILHAS MINIONS 30G,UN,BOMBONIERE,02 REVENDA,9,9500,1704.90.20 - BALAS,0,28.062.00,5.102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,18,1,650,1,7,600,1,-,,,,,,,
|7896002360326|,-,PAO DE FORMA 480G PULLMAN,UN,MERCEARIA SECA,02 REVENDA,11,4000,1905.90.10 - PAO DE FORMA,60,17.060.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7896002310345|,-,ARTESANO PAO NA CHAPA 500G PULLMAN,UN,MERCEARIA SECA,02 REVENDA,17,3000,1905.90.10 - PAO DE FORMA,60,17.060.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7896002302197|,-,ARTESANO ORIGINAL 500G PULLMAN,UN,MERCEARIA SECA,02 REVENDA,16,8000,1905.90.10 - PAO DE FORMA,60,17.060.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
|7896002301633|,-,PAO SEM CASCA TRADICIONAL 450G PULLMAN,UN,MERCEARIA SECA,02 REVENDA,17,2000,1905.90.10 - PAO DE FORMA,60,17.060.00,5.405 - VENDA DE MERCADORIA, ADQUIRIDA OU RECEBIDA DE TERCEIROS, SUJ,0,1,650,1,7,600,1,-,,,,,
